shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
179,179,2023-12-11,2023-07-06,USPS,Delivered
180,180,2022-09-15,,FedEx,In Transit
181,181,2023-06-05,,FedEx,In Transit
182,182,2022-10-27,,USPS,Delivered
183,183,2023-10-27,2024-01-07,FedEx,In Transit
184,184,2022-05-15,,DHL,Returned
185,185,2022-11-03,,USPS,Delivered
186,186,2023-09-14,,DHL,In Transit
187,187,2022-12-13,,FedEx,Returned
188,188,2023-09-18,,DHL,Delivered
189,189,2023-06-10,,UPS,Returned
190,190,2023-07-22,,FedEx,Returned
191,191,2023-10-08,,UPS,In Transit
192,192,2022-03-10,,UPS,Returned
193,193,2023-10-26,,USPS,In Transit
194,194,2022-03-29,,USPS,Returned
195,195,2022-10-19,,DHL,In Transit
196,196,2022-12-23,,DHL,In Transit
197,197,2023-04-09,,FedEx,Delivered
198,198,2023-10-05,,DHL,In Transit
199,199,2023-07-14,2023-04-28,DHL,Returned
200,200,2023-06-05,,USPS,Delivered
201,201,2023-04-15,,USPS,Delivered
202,202,2022-02-07,,UPS,Returned
203,203,2023-12-14,,DHL,Returned
204,204,2023-11-03,,USPS,Delivered
205,205,2023-03-29,,FedEx,Delivered
206,206,2022-04-05,,DHL,In Transit
207,207,2023-01-02,,FedEx,Delivered
208,208,2022-07-04,,UPS,Returned
209,209,2022-08-30,,UPS,Delivered
210,210,2023-07-13,,USPS,Returned
211,211,2023-02-17,2023-05-22,USPS,Returned
212,212,2023-04-05,,UPS,In Transit
213,213,2023-02-05,2023-04-24,FedEx,In Transit
214,214,2023-05-06,,UPS,In Transit
215,215,2022-07-21,2023-05-21,UPS,Returned
216,216,2023-07-08,2023-01-01,USPS,Returned
217,217,2023-11-05,,DHL,Returned
218,218,2022-07-12,,USPS,In Transit
219,219,2022-01-28,,USPS,Delivered
220,220,2023-09-24,,FedEx,Delivered
221,221,2023-04-09,,UPS,In Transit
222,222,2022-10-10,2023-02-22,DHL,In Transit
223,223,2023-01-26,2024-01-13,DHL,Returned
224,224,2022-03-22,,USPS,Returned
225,225,2023-09-22,,USPS,Returned
226,226,2022-03-08,,UPS,Delivered
227,227,2023-10-06,,FedEx,Delivered
228,228,2023-11-12,,UPS,In Transit
229,229,2023-04-19,,DHL,In Transit
230,230,2023-05-23,,FedEx,Returned
231,231,2023-09-19,,USPS,Delivered
232,232,2023-06-30,,USPS,Delivered
233,233,2023-05-21,,DHL,In Transit
234,234,2023-01-30,,UPS,Delivered
235,235,2023-07-10,,FedEx,Returned
236,236,2022-06-04,,UPS,Delivered
237,237,2023-10-02,,UPS,Returned
238,238,2023-08-13,,UPS,Returned
239,239,2023-03-24,,USPS,Returned
240,240,2023-06-03,,DHL,Returned
241,241,2023-05-26,,FedEx,Delivered
242,242,2022-06-08,,FedEx,Delivered
243,243,2022-05-14,,DHL,Returned
244,244,2022-11-25,,FedEx,In Transit
245,245,2023-06-14,,FedEx,In Transit
246,246,2023-08-15,,UPS,Returned
247,247,2022-07-21,,UPS,Returned
248,248,2023-05-22,,DHL,In Transit
249,249,2022-02-10,,FedEx,Delivered
250,250,2023-10-22,,DHL,Delivered
251,251,2023-06-30,2024-01-24,DHL,In Transit
252,252,2022-11-23,,DHL,Returned
253,253,2023-11-30,,DHL,Returned
254,254,2023-06-22,2023-02-15,UPS,Delivered
255,255,2022-01-02,2023-11-18,USPS,Delivered
256,256,2023-02-14,,DHL,Returned
257,257,2023-10-22,2023-10-01,FedEx,Delivered
258,258,2022-07-11,,USPS,In Transit
259,259,2023-12-01,,UPS,In Transit
260,260,2023-10-04,,USPS,Delivered
261,261,2022-09-02,,USPS,Returned
262,262,2023-01-14,,UPS,In Transit
263,263,2022-02-24,,DHL,Delivered
264,264,2023-12-15,,USPS,Delivered
265,265,2022-10-04,,UPS,Returned
266,266,2022-02-01,,UPS,Delivered
267,267,2023-11-12,,USPS,In Transit
268,268,2023-01-06,,UPS,Delivered
269,269,2023-02-05,,USPS,Returned
270,270,2023-01-27,,USPS,Delivered
271,271,2023-09-28,,UPS,In Transit
272,272,2022-12-07,,UPS,In Transit
273,273,2023-12-05,,UPS,Delivered
274,274,2023-04-14,,USPS,Returned
275,275,2023-08-07,,FedEx,In Transit
276,276,2022-02-10,,UPS,Returned
277,277,2022-02-02,,UPS,Returned
278,278,2023-11-22,,DHL,In Transit
279,279,2022-05-09,,UPS,Delivered
280,280,2022-06-22,,USPS,Returned
281,281,2022-10-15,2023-06-26,UPS,Delivered
282,282,2023-07-10,,DHL,Returned
283,283,2022-07-01,,FedEx,In Transit
284,284,2022-12-18,,FedEx,Returned
285,285,2023-01-20,,UPS,Delivered
286,286,2022-10-03,,FedEx,Delivered
287,287,2022-09-16,,USPS,Returned
288,288,2022-07-07,,FedEx,Returned
289,289,2023-06-22,,USPS,Returned
290,290,2023-02-08,,FedEx,In Transit
291,291,2023-04-18,,FedEx,Delivered
292,292,2023-09-01,,USPS,Returned
293,293,2023-02-09,,USPS,Delivered
294,294,2022-07-21,,UPS,Delivered
295,295,2022-05-25,,USPS,Delivered
296,296,2022-12-29,,UPS,Delivered
297,297,2023-09-20,,DHL,Returned
298,298,2022-10-30,,USPS,Delivered
299,299,2022-07-11,,UPS,Delivered
300,300,2023-10-17,,UPS,In Transit
301,301,2022-09-11,,FedEx,Returned
302,302,2023-10-13,,USPS,Delivered
303,303,2022-05-18,,FedEx,Delivered
304,304,2023-12-02,,UPS,Returned
305,305,2023-07-01,,USPS,Returned
306,306,2023-08-14,,UPS,Delivered
307,307,2022-10-04,,FedEx,In Transit
308,308,2023-02-06,,UPS,In Transit
309,309,2022-08-17,,UPS,Returned
310,310,2022-07-20,,FedEx,Returned
311,311,2023-07-15,,USPS,In Transit
312,312,2023-08-11,,FedEx,In Transit
313,313,2022-04-17,,USPS,In Transit
314,314,2022-12-16,,USPS,In Transit
315,315,2023-02-20,,DHL,In Transit
316,316,2022-06-19,,UPS,Returned
317,317,2022-09-25,,USPS,Returned
318,318,2022-03-24,,USPS,Returned
319,319,2023-12-03,,FedEx,Returned
320,320,2023-11-29,,USPS,Delivered
321,321,2022-12-03,,USPS,In Transit
322,322,2022-07-12,2023-10-24,FedEx,In Transit
323,323,2023-07-01,2023-01-23,USPS,Returned
324,324,2022-12-13,,UPS,In Transit
325,325,2023-05-11,,UPS,Delivered
326,326,2022-07-03,,FedEx,Delivered
327,327,2022-12-19,,USPS,Delivered
328,328,2023-02-04,,UPS,Returned
329,329,2022-06-22,,DHL,In Transit
330,330,2023-08-14,,FedEx,Delivered
331,331,2022-06-26,,FedEx,Delivered
332,332,2023-02-19,,UPS,In Transit
333,333,2023-08-28,,FedEx,In Transit
334,334,2022-08-16,,USPS,Delivered
335,335,2023-12-14,,UPS,Delivered
336,336,2022-08-17,,DHL,In Transit
337,337,2022-12-19,,USPS,Returned
338,338,2023-06-28,,DHL,In Transit
339,339,2023-09-16,,DHL,Returned
340,340,2023-12-05,,FedEx,Delivered
341,341,2023-01-15,,DHL,Returned
342,342,2022-04-16,,USPS,Returned
343,343,2022-08-18,,UPS,Delivered
344,344,2023-06-02,,UPS,Delivered
345,345,2022-04-20,,DHL,Returned
346,346,2023-07-29,,DHL,In Transit
347,347,2023-12-30,,UPS,In Transit
348,348,2023-02-06,,DHL,Delivered
349,349,2023-01-15,2023-05-30,USPS,Delivered
350,350,2023-01-11,,DHL,In Transit
351,351,2022-01-28,,DHL,In Transit
352,352,2023-10-25,,USPS,Delivered
353,353,2023-05-18,,UPS,In Transit
354,354,2023-06-17,,UPS,Returned
355,355,2022-09-28,,DHL,Delivered
356,356,2023-02-01,,UPS,Returned
357,357,2023-07-28,,USPS,Returned
358,358,2022-11-30,,DHL,Returned
359,359,2022-01-18,,DHL,Returned
360,360,2023-09-18,,DHL,In Transit
361,361,2022-11-26,,FedEx,Delivered
362,362,2023-05-16,,FedEx,In Transit
363,363,2023-11-29,,USPS,Returned
364,364,2022-10-23,,DHL,Returned
365,365,2022-09-26,,USPS,Returned
366,366,2022-08-19,,FedEx,Returned
367,367,2022-01-09,,DHL,Delivered
368,368,2022-07-19,,FedEx,Delivered
369,369,2022-11-11,,DHL,Delivered
370,370,2023-10-07,,USPS,Returned
371,371,2023-10-02,,USPS,Returned
372,372,2022-05-04,,USPS,Delivered
373,373,2023-11-24,,FedEx,Delivered
374,374,2023-06-10,,USPS,Delivered
375,375,2023-08-15,,UPS,In Transit
376,376,2022-03-19,,UPS,Returned
377,377,2022-04-27,,USPS,Delivered
378,378,2023-05-09,2023-04-06,USPS,Delivered
379,379,2023-09-07,,FedEx,Returned
380,380,2023-05-12,2023-11-17,DHL,In Transit
381,381,2022-06-19,,FedEx,Returned
382,382,2022-02-19,,FedEx,Delivered
383,383,2022-07-24,,USPS,Delivered
384,384,2023-06-20,,UPS,In Transit
385,385,2023-12-24,,UPS,In Transit
386,386,2022-12-09,,UPS,Returned
387,387,2023-08-20,,FedEx,Delivered
388,388,2022-08-31,,UPS,In Transit
389,389,2022-10-04,,UPS,Delivered
390,390,2022-02-09,,USPS,In Transit
391,391,2022-03-31,,UPS,In Transit
392,392,2023-01-09,2023-03-08,DHL,Delivered
393,393,2022-08-05,,USPS,Delivered
394,394,2023-02-09,,DHL,Returned
395,395,2022-11-12,,FedEx,Returned
396,396,2022-04-02,,UPS,Returned
397,397,2022-12-01,,FedEx,Delivered
398,398,2022-10-29,,FedEx,In Transit
399,399,2023-04-11,,UPS,Returned
400,400,2022-04-22,,USPS,Delivered
401,401,2022-12-02,,FedEx,Returned
402,402,2022-12-03,,UPS,Returned
403,403,2022-07-28,,UPS,Returned
404,404,2022-04-21,,DHL,In Transit
405,405,2022-08-11,2023-05-06,FedEx,Delivered
406,406,2022-06-28,2023-11-02,FedEx,In Transit
407,407,2023-01-11,,UPS,Returned
408,408,2023-09-28,,DHL,Returned
409,409,2022-08-09,,USPS,In Transit
410,410,2023-03-07,,DHL,Returned
411,411,2023-05-04,,FedEx,Returned
412,412,2023-06-23,,DHL,In Transit
413,413,2022-04-11,,FedEx,Delivered
414,414,2022-09-02,,USPS,Returned
415,415,2023-03-14,,FedEx,Returned
416,416,2023-04-05,,USPS,Delivered
417,417,2022-11-22,,USPS,In Transit
418,418,2022-02-17,,USPS,In Transit
419,419,2022-01-18,,DHL,Returned
420,420,2023-09-29,2023-06-17,USPS,Returned
421,421,2022-10-01,2023-05-30,UPS,In Transit
422,422,2022-06-04,,FedEx,Returned
423,423,2023-12-16,2023-09-30,FedEx,In Transit
424,424,2023-10-22,,FedEx,In Transit
425,425,2022-04-23,2023-12-21,FedEx,In Transit
426,426,2022-10-19,,USPS,Returned
427,427,2022-04-01,,DHL,In Transit
428,428,2022-02-07,,DHL,Delivered
429,429,2022-12-30,,DHL,Delivered
430,430,2022-07-02,,DHL,In Transit
431,431,2023-04-14,,FedEx,Delivered
432,432,2023-01-29,,UPS,In Transit
433,433,2023-09-24,2023-05-02,UPS,Returned
434,434,2023-06-27,,DHL,Returned
435,435,2022-05-06,2023-06-27,FedEx,Returned
436,436,2023-12-15,,USPS,In Transit
437,437,2023-08-30,,DHL,In Transit
438,438,2023-06-22,,USPS,Delivered
439,439,2023-05-01,,USPS,Delivered
440,440,2023-07-30,,USPS,Returned
441,441,2022-03-04,,UPS,In Transit
442,442,2023-09-13,,DHL,Delivered
443,443,2022-05-16,,FedEx,Returned
444,444,2023-05-06,,FedEx,In Transit
445,445,2022-01-08,,FedEx,Delivered
446,446,2022-10-07,,DHL,Delivered
447,447,2023-01-06,,UPS,Delivered
448,448,2022-05-14,,USPS,Delivered
449,449,2022-08-30,,FedEx,Returned
450,450,2023-06-12,,UPS,Returned
451,451,2023-06-25,,USPS,Delivered
452,452,2023-07-27,,USPS,In Transit
453,453,2022-12-24,,UPS,In Transit
454,454,2023-02-17,2023-03-22,DHL,In Transit
455,455,2022-06-17,,DHL,Returned
456,456,2022-05-22,,UPS,In Transit
457,457,2022-12-06,,USPS,In Transit
458,458,2023-07-26,,FedEx,In Transit
459,459,2023-03-16,,FedEx,In Transit
460,460,2023-03-04,,DHL,Returned
461,461,2022-03-02,,FedEx,In Transit
462,462,2022-11-30,,USPS,Delivered
463,463,2023-08-22,,UPS,Returned
464,464,2023-06-04,2023-06-25,USPS,In Transit
465,465,2023-03-03,,FedEx,Delivered
466,466,2023-04-07,,USPS,Returned
467,467,2023-07-07,,DHL,Delivered
468,468,2023-03-30,,UPS,In Transit
469,469,2022-10-15,,UPS,In Transit
470,470,2022-11-03,,FedEx,In Transit
471,471,2022-06-22,,FedEx,Delivered
472,472,2022-05-23,2023-06-23,USPS,Returned
473,473,2023-05-21,,USPS,Delivered
474,474,2023-12-26,,UPS,Delivered
475,475,2022-12-13,,DHL,Delivered
476,476,2023-06-08,,DHL,In Transit
477,477,2022-12-13,,FedEx,Delivered
478,478,2023-11-18,,DHL,Delivered
479,479,2022-10-15,,UPS,Delivered
480,480,2023-07-10,,DHL,Returned
481,481,2023-10-11,,UPS,Delivered
482,482,2022-12-15,,FedEx,Delivered
483,483,2023-08-27,,USPS,In Transit
484,484,2023-03-10,,DHL,Delivered
485,485,2023-01-09,,UPS,Delivered
486,486,2022-11-22,2023-12-29,FedEx,In Transit
487,487,2023-09-22,,UPS,Delivered
488,488,2022-10-23,,DHL,Delivered
489,489,2022-07-03,,UPS,Returned
490,490,2023-05-31,,FedEx,Returned
491,491,2022-05-13,,FedEx,Delivered
492,492,2022-11-09,,USPS,Returned
493,493,2023-09-23,,USPS,Delivered
494,494,2022-05-03,,DHL,Returned
495,495,2022-03-27,,FedEx,Delivered
496,496,2023-12-12,,DHL,Returned
497,497,2023-03-16,,FedEx,Delivered
498,498,2022-12-08,,DHL,In Transit
499,499,2022-01-28,,FedEx,In Transit
500,500,2022-05-21,,DHL,Delivered
501,501,2022-01-08,,UPS,Returned
502,502,2022-02-11,,USPS,In Transit
503,503,2022-02-14,,UPS,Returned
504,504,2022-06-10,,USPS,Returned
505,505,2022-11-12,,DHL,In Transit
506,506,2023-01-18,,FedEx,In Transit
507,507,2023-10-18,,FedEx,Returned
508,508,2022-08-25,,DHL,Delivered
509,509,2023-08-25,,FedEx,In Transit
510,510,2023-10-26,,DHL,Delivered
511,511,2022-08-27,,UPS,Delivered
512,512,2022-03-17,,DHL,In Transit
513,513,2022-09-01,,FedEx,Delivered
514,514,2022-05-16,,FedEx,Delivered
515,515,2023-10-22,,DHL,Delivered
516,516,2022-04-30,,DHL,Delivered
517,517,2022-12-01,,DHL,Returned
518,518,2022-11-22,,DHL,Delivered
519,519,2022-03-13,,USPS,Delivered
520,520,2022-08-03,,USPS,Delivered
521,521,2022-01-07,,UPS,Delivered
522,522,2022-11-29,,USPS,Returned
523,523,2022-12-16,,FedEx,Returned
524,524,2023-05-09,,USPS,Returned
525,525,2022-02-05,,USPS,In Transit
526,526,2023-06-20,,FedEx,In Transit
527,527,2022-07-29,,USPS,Returned
528,528,2023-10-12,,DHL,In Transit
529,529,2023-10-12,,USPS,Returned
530,530,2023-03-13,,USPS,Delivered
531,531,2023-07-24,,USPS,Returned
532,532,2022-07-07,,DHL,Returned
533,533,2023-12-01,,DHL,In Transit
534,534,2022-04-14,,UPS,Returned
535,535,2022-10-19,,UPS,Delivered
536,536,2022-11-08,2023-02-01,DHL,Returned
537,537,2022-10-20,,FedEx,Returned
538,538,2023-06-18,,UPS,Returned
539,539,2023-06-23,,USPS,Returned
540,540,2023-09-25,,USPS,In Transit
541,541,2023-01-29,,USPS,In Transit
542,542,2023-02-01,,FedEx,In Transit
543,543,2023-08-25,,UPS,Returned
544,544,2023-09-28,,DHL,Delivered
545,545,2023-05-19,,DHL,In Transit
546,546,2022-05-29,,FedEx,Delivered
547,547,2023-05-28,,DHL,In Transit
548,548,2023-12-09,,FedEx,Delivered
549,549,2022-08-17,,DHL,Returned
550,550,2023-03-11,,DHL,Returned
551,551,2023-04-06,,FedEx,In Transit
552,552,2023-10-16,,DHL,Delivered
553,553,2023-03-29,,UPS,Returned
554,554,2022-10-28,,DHL,Returned
555,555,2023-10-22,,USPS,Returned
556,556,2023-03-01,,FedEx,In Transit
557,557,2022-06-04,,DHL,Delivered
558,558,2022-01-08,,UPS,In Transit
559,559,2022-05-14,2023-03-28,DHL,Delivered
560,560,2023-01-12,,DHL,In Transit
561,561,2023-06-13,,USPS,Returned
562,562,2023-12-23,,UPS,Delivered
563,563,2022-06-22,,DHL,In Transit
564,564,2023-01-14,2023-06-04,DHL,Returned
565,565,2022-10-23,,USPS,Returned
566,566,2022-08-04,,FedEx,Delivered
567,567,2022-03-14,,FedEx,In Transit
568,568,2023-06-24,,FedEx,Returned
569,569,2022-08-13,,USPS,Delivered
570,570,2022-06-28,,FedEx,Delivered
571,571,2023-12-27,,UPS,Returned
572,572,2023-07-12,,FedEx,In Transit
573,573,2022-04-20,,FedEx,Delivered
574,574,2022-05-18,,DHL,Returned
575,575,2022-07-15,,UPS,Returned
576,576,2022-03-07,,USPS,Returned
577,577,2022-05-11,,UPS,In Transit
578,578,2022-07-25,,FedEx,In Transit
579,579,2023-09-15,,DHL,Delivered
580,580,2022-05-28,,USPS,Delivered
581,581,2023-10-24,2023-06-23,UPS,Returned
582,582,2022-01-09,,UPS,Delivered
583,583,2023-10-05,,FedEx,Returned
584,584,2022-11-10,,FedEx,Delivered
585,585,2023-10-03,,USPS,In Transit
586,586,2022-04-06,,FedEx,In Transit
587,587,2022-03-03,,DHL,Returned
588,588,2023-01-23,,USPS,Delivered
589,589,2022-01-10,,FedEx,Delivered
590,590,2022-04-04,,USPS,Delivered
591,591,2023-06-18,,UPS,Returned
592,592,2022-09-09,,USPS,Delivered
593,593,2023-03-03,,UPS,In Transit
594,594,2022-09-27,,USPS,Delivered
595,595,2023-05-18,,FedEx,In Transit
596,596,2022-06-14,,UPS,Delivered
597,597,2022-07-29,,USPS,Returned
598,598,2023-07-22,,DHL,Returned
599,599,2023-04-21,,FedEx,Delivered
600,600,2022-12-21,,USPS,Delivered
601,601,2022-01-26,,USPS,In Transit
602,602,2023-07-01,,UPS,Returned
603,603,2022-06-20,,UPS,Delivered
604,604,2023-04-29,,FedEx,Returned
605,605,2023-02-19,,UPS,Returned
606,606,2023-06-17,,USPS,Delivered
607,607,2023-12-26,2024-01-16,USPS,Delivered
608,608,2022-04-01,,UPS,Delivered
609,609,2023-11-14,2023-08-02,FedEx,Delivered
610,610,2023-04-13,,DHL,In Transit
611,611,2022-07-02,2023-04-13,USPS,Delivered
612,612,2022-07-06,2023-02-15,USPS,In Transit
613,613,2022-12-26,,UPS,Delivered
614,614,2023-05-08,,DHL,Returned
615,615,2023-04-22,,USPS,Delivered
616,616,2022-11-26,,DHL,In Transit
617,617,2022-09-25,,DHL,Delivered
618,618,2023-01-08,,USPS,Delivered
619,619,2023-07-31,,DHL,Returned
620,620,2023-10-06,,DHL,Returned
621,621,2022-10-01,,UPS,In Transit
622,622,2023-05-12,,UPS,Delivered
623,623,2022-05-20,,DHL,Delivered
624,624,2023-01-25,,FedEx,Returned
625,625,2022-06-09,,DHL,In Transit
626,626,2023-08-09,,USPS,Delivered
627,627,2022-02-04,,FedEx,In Transit
628,628,2022-12-01,,UPS,In Transit
629,629,2022-05-27,,FedEx,In Transit
630,630,2023-09-27,,UPS,Returned
631,631,2022-04-04,,FedEx,Returned
632,632,2023-06-09,,DHL,Delivered
633,633,2023-11-18,,UPS,In Transit
634,634,2023-04-11,,USPS,In Transit
635,635,2023-01-28,,FedEx,In Transit
636,636,2023-11-06,2023-02-15,DHL,Delivered
637,637,2023-07-23,2023-07-10,FedEx,Delivered
638,638,2022-09-05,,FedEx,In Transit
639,639,2022-04-16,,USPS,In Transit
640,640,2023-02-07,,FedEx,In Transit
641,641,2022-02-25,2023-07-09,USPS,Delivered
642,642,2023-07-18,,UPS,In Transit
643,643,2022-07-07,,USPS,In Transit
644,644,2023-03-28,,USPS,Returned
645,645,2022-05-05,,UPS,In Transit
646,646,2023-10-24,2023-12-29,USPS,Returned
647,647,2023-04-27,,DHL,In Transit
648,648,2022-06-30,,FedEx,Returned
649,649,2022-03-07,,USPS,Returned
